Cluster 0: size = 123 (WT = 123)
Cluster 1: size = 110 (WT = 110)
Cluster 2: size = 161 (WT = 161)
Cluster 3: size = 111 (WT = 111)
Cluster 4: size = 87 (WT = 87)
ORF,plate,date,row,col,cluster
YOR202W,TS4-37,12/02/11,15,1,4
YOR202W,TS4-37,12/02/11,15,24,3
YOR202W,TS4-37,12/02/11,16,1,4
YOR202W,TS4-37,12/02/11,16,2,4
YOR202W,TS4-37,12/02/11,16,3,1
YOR202W,TS4-37,12/02/11,16,4,4
YOR202W,TS4-37,12/02/11,16,5,1
YOR202W,TS4-37,12/02/11,16,6,1
YOR202W,TS4-37,12/02/11,16,7,1
YOR202W,TS4-37,12/02/11,16,8,4
YOR202W,TS4-37,12/02/11,16,9,1
YOR202W,TS4-37,12/02/11,16,10,1
YOR202W,TS4-37,12/02/11,16,11,3
YOR202W,TS4-37,12/02/11,16,12,1
YOR202W,TS4-37,12/02/11,16,13,1
YOR202W,TS4-37,12/02/11,16,14,1
YOR202W,TS4-37,12/02/11,16,15,1
YOR202W,TS4-37,12/02/11,16,16,3
YOR202W,TS4-37,12/02/11,16,17,4
YOR202W,TS4-37,12/02/11,16,18,3
YOR202W,TS4-37,12/02/11,16,19,3
YOR202W,TS4-37,12/02/11,16,20,3
YOR202W,TS4-37,12/02/11,16,21,3
YOR202W,TS4-37,12/02/11,16,22,3
YOR202W,TS4-37,12/02/11,16,23,3
YOR202W,TS4-37,12/02/11,16,24,3
YOR202W,TS4-RT,12/02/11,1,1,0
YOR202W,TS4-RT,12/02/11,1,2,0
YOR202W,TS4-RT,12/02/11,1,3,2
YOR202W,TS4-RT,12/02/11,1,4,2
YOR202W,TS4-RT,12/02/11,1,5,0
YOR202W,TS4-RT,12/02/11,1,6,2
YOR202W,TS4-RT,12/02/11,1,7,2
YOR202W,TS4-RT,12/02/11,1,8,2
YOR202W,TS4-RT,12/02/11,1,9,2
YOR202W,TS4-RT,12/02/11,1,10,2
YOR202W,TS4-RT,12/02/11,1,11,0
YOR202W,TS4-RT,12/02/11,1,12,3
YOR202W,TS4-RT,12/02/11,1,13,2
YOR202W,TS4-RT,12/02/11,1,14,2
YOR202W,TS4-RT,12/02/11,1,15,2
YOR202W,TS4-RT,12/02/11,1,16,2
YOR202W,TS4-RT,12/02/11,1,17,2
YOR202W,TS4-RT,12/02/11,1,18,2
YOR202W,TS4-RT,12/02/11,1,19,2
YOR202W,TS4-RT,12/02/11,1,20,2
YOR202W,TS4-RT,12/02/11,1,21,2
YOR202W,TS4-RT,12/02/11,1,22,2
YOR202W,TS4-RT,12/02/11,1,23,2
YOR202W,TS4-RT,12/02/11,1,24,3
YOR202W,TS4-RT,12/02/11,2,1,2
YOR202W,TS4-RT,12/02/11,2,24,2
