ORF,plate,date,row,col,class,proba
YJL138C,add4,4/26/12,6,3,0,1.00000,0.00000
YPL017C,add4,4/26/12,6,5,0,1.00000,0.00000
YJL208C,add4,4/26/12,6,6,1,0.00000,1.00000
YOL003C,add4,4/26/12,6,7,0,1.00000,0.00000
YEL067C,add4,4/26/12,6,8,0,1.00000,0.00000
YLL016W,add4,4/26/12,6,9,0,1.00000,0.00000
YIL137C,add4,4/26/12,6,10,0,1.00000,0.00000
YOR309C,add4,4/26/12,6,11,1,0.00001,0.99999
YMR026C,add4,4/26/12,6,12,0,1.00000,0.00000
YLR200W,add4,4/26/12,6,13,1,0.00460,0.99540
YDR435C,add4,4/26/12,6,14,0,1.00000,0.00000
YOL105C,add4,4/26/12,6,15,0,1.00000,0.00000
YER002W,add4,4/26/12,6,16,0,1.00000,0.00000
YIL107C,add4,4/26/12,6,17,0,1.00000,0.00000
YBR121C,add4,4/26/12,6,18,0,1.00000,0.00000
YOR230W,add4,4/26/12,6,19,0,1.00000,0.00000
YOR280C,add4,4/26/12,6,20,0,1.00000,0.00000
YJL149W,add4,4/26/12,6,21,0,1.00000,0.00000
YHR050W,add4,4/26/12,6,22,0,1.00000,0.00000
YDL179W,add4,4/26/12,6,23,0,1.00000,0.00000
YPR003C,add4,4/26/12,7,2,0,1.00000,0.00000
YPR120C,add4,4/26/12,7,3,1,0.28118,0.71882
YNL142W,add4,4/26/12,7,4,0,1.00000,0.00000
YBR067C,add4,4/26/12,7,5,1,0.00000,1.00000
YIL140W,add4,4/26/12,7,6,0,1.00000,0.00000
YBL036C,add4,4/26/12,7,8,0,1.00000,0.00000
YGR157W,add4,4/26/12,7,9,0,0.99855,0.00145
YNL022C,add4,4/26/12,7,10,0,1.00000,0.00000
YER011W,add4,4/26/12,7,11,0,1.00000,0.00000
YGR105W,add4,4/26/12,7,12,1,0.00000,1.00000
YOL151W,add4,4/26/12,7,13,0,1.00000,0.00000
YDR207C,add4,4/26/12,7,14,1,0.19507,0.80493
YOR284W,add4,4/26/12,7,15,1,0.00000,1.00000
YPL180W,add4,4/26/12,7,16,0,1.00000,0.00000
YOR040W,add4,4/26/12,7,17,0,1.00000,0.00000
YKR039W,add4,4/26/12,7,18,0,1.00000,0.00000
YEL059W,add4,4/26/12,7,19,0,1.00000,0.00000
YNL129W,add4,4/26/12,7,20,0,1.00000,0.00000
